gameweek,predicted_points,actual_points,transfers_made,points_hit,chip_used,bank
2,80.72013170000001,77.0,5,4,bench_boost,5
3,58.1562707,77.0,1,0,triple_captain,0
4,43.33783020000001,33.0,1,0,None,0
5,48.2372361,67.0,1,0,None,0
6,58.8940578,90.0,3,2,None,0
7,54.3945182,78.0,1,0,None,0
8,68.34326519999999,48.0,1,0,None,0
9,54.914616,80.0,1,0,None,0
10,52.3539641,53.0,1,0,None,15
11,53.70944849999999,58.0,2,1,None,0
12,49.729381700000005,57.0,1,0,None,5
13,57.0724826,94.0,1,0,None,5
14,53.64249840000001,66.0,1,0,None,0
15,58.79954500000001,56.0,1,0,None,0
16,63.628527299999995,91.0,1,0,None,10
17,71.44812420000001,60.0,1,0,None,0
18,63.03529960000001,67.0,1,0,None,0
19,72.5168976,62.0,1,0,None,5
20,64.6160585,59.0,4,3,None,0
21,58.7153159,69.0,1,0,None,0
22,75.1395423,44.0,1,0,None,0
23,52.6509584,64.0,1,0,None,20
24,78.8725676,117.0,1,0,None,5
25,104.335376,103.0,2,1,None,10
26,57.94593240000001,89.0,3,2,None,10
27,68.0365809,61.0,1,0,None,0
28,58.540432900000006,74.0,1,0,None,0
29,68.13301970000002,56.0,1,0,None,5
30,68.00830049999999,54.0,1,0,None,0
31,71.3195693,45.0,2,1,None,0
32,69.519227,84.0,2,1,None,5
33,68.31216880000001,75.0,1,0,None,10
34,61.4379975,66.0,1,0,None,15
35,61.81111640000001,60.0,1,0,None,10
36,59.2810508,49.0,1,0,None,10
37,48.1985897,48.0,1,0,None,85
38,52.8473831,47.0,1,0,None,195
