model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,GW,horizon
LightGBMXT,-1.4133032270706885,mean_absolute_error,0.7844564914703369,286.308048248291,0.7844564914703369,286.308048248291,1,True,3,1,1
WeightedEnsemble_L2,-1.4133032270706885,mean_absolute_error,0.785301685333252,286.9246747493744,0.0008451938629150391,0.616626501083374,2,True,4,1,1
KNeighborsUnif,-1.6735200020253658,mean_absolute_error,0.724370002746582,0.5544722080230713,0.724370002746582,0.5544722080230713,1,True,1,1,1
KNeighborsDist,-1.6913199160445482,mean_absolute_error,0.9126718044281006,1.6317691802978516,0.9126718044281006,1.6317691802978516,1,True,2,1,1
WeightedEnsemble_L2_FULL,,mean_absolute_error,,443.67579197883606,,0.616626501083374,2,True,8,1,1
LightGBMXT_FULL,,mean_absolute_error,,443.0591654777527,,443.0591654777527,1,True,7,1,1
KNeighborsUnif_FULL,,mean_absolute_error,,3.3341760635375977,,3.3341760635375977,1,True,5,1,1
KNeighborsDist_FULL,,mean_absolute_error,,3.8886125087738037,,3.8886125087738037,1,True,6,1,1
LightGBMXT,-1.5416366021879018,mean_absolute_error,0.17116332054138184,179.48475885391235,0.17116332054138184,179.48475885391235,1,True,3,1,2
WeightedEnsemble_L2,-1.5416366021879018,mean_absolute_error,0.171860933303833,180.09010457992554,0.0006976127624511719,0.6053457260131836,2,True,4,1,2
KNeighborsUnif,-1.7799999990522861,mean_absolute_error,3.7772631645202637,5.958760976791382,3.7772631645202637,5.958760976791382,1,True,1,1,2
KNeighborsDist,-1.7934318105476907,mean_absolute_error,6.367636442184448,5.798316240310669,6.367636442184448,5.798316240310669,1,True,2,1,2
WeightedEnsemble_L2_FULL,,mean_absolute_error,,163.6072039604187,,0.6053457260131836,2,True,8,1,2
LightGBMXT_FULL,,mean_absolute_error,,163.00185823440552,,163.00185823440552,1,True,7,1,2
KNeighborsUnif_FULL,,mean_absolute_error,,11.085007429122925,,11.085007429122925,1,True,5,1,2
KNeighborsDist_FULL,,mean_absolute_error,,24.20090937614441,,24.20090937614441,1,True,6,1,2
LightGBMXT,-1.5807155348479747,mean_absolute_error,1.6210010051727295,136.65565276145935,1.6210010051727295,136.65565276145935,1,True,3,1,3
WeightedEnsemble_L2,-1.5807155348479747,mean_absolute_error,1.6846392154693604,137.81261563301086,0.06363821029663086,1.1569628715515137,2,True,4,1,3
KNeighborsUnif,-1.7879200016379357,mean_absolute_error,21.252737998962402,8.128660202026367,21.252737998962402,8.128660202026367,1,True,1,1,3
KNeighborsDist,-1.7894520149409772,mean_absolute_error,9.42793321609497,60.60942983627319,9.42793321609497,60.60942983627319,1,True,2,1,3
WeightedEnsemble_L2_FULL,,mean_absolute_error,,106.35583758354187,,1.1569628715515137,2,True,8,1,3
LightGBMXT_FULL,,mean_absolute_error,,105.19887471199036,,105.19887471199036,1,True,7,1,3
KNeighborsUnif_FULL,,mean_absolute_error,,36.41804575920105,,36.41804575920105,1,True,5,1,3
KNeighborsDist_FULL,,mean_absolute_error,,43.68163824081421,,43.68163824081421,1,True,6,1,3
LightGBMXT,-1.6220960597625933,mean_absolute_error,0.15261244773864746,209.29539227485657,0.15261244773864746,209.29539227485657,1,True,3,1,4
WeightedEnsemble_L2,-1.6220960597625933,mean_absolute_error,0.1533520221710205,210.4299123287201,0.0007395744323730469,1.1345200538635254,2,True,4,1,4
KNeighborsUnif,-1.8775199992358684,mean_absolute_error,14.069000482559204,15.091072797775269,14.069000482559204,15.091072797775269,1,True,1,1,4
KNeighborsDist,-1.884644629896432,mean_absolute_error,6.3015570640563965,12.90623688697815,6.3015570640563965,12.90623688697815,1,True,2,1,4
WeightedEnsemble_L2_FULL,,mean_absolute_error,,138.31885504722595,,1.1345200538635254,2,True,8,1,4
LightGBMXT_FULL,,mean_absolute_error,,137.18433499336243,,137.18433499336243,1,True,7,1,4
KNeighborsUnif_FULL,,mean_absolute_error,,4.312135934829712,,4.312135934829712,1,True,5,1,4
