Season,Player Name,GW,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,match_identifier
2021-22,Son Heung-Min,38,2,7,2.437920093536377,90,AMC,Norwich,Tottenham,0,5,2022-05-22,453,2021,0,0.051857899874448776,0,1,2,2.437920093536377,2.9670801162719727,0.5403689742088318,16755
2021-22,Son Heung-Min,37,0,2,0.51910001039505,90,AMC,Tottenham,Burnley,1,0,2022-05-15,453,2021,0,0.18275399506092072,0,4,0,0.51910001039505,1.197759985923767,0.5381640195846558,16739
2021-22,Son Heung-Min,36,1,2,0.6611549854278564,74,AMC,Tottenham,Arsenal,3,0,2022-05-12,453,2021,0,0.26070699095726013,0,3,1,0.6611549854278564,0.9580270051956177,0.6657339930534363,16593
2021-22,Son Heung-Min,36,1,2,0.7055780291557312,90,FWL,Liverpool,Tottenham,1,1,2022-05-07,453,2021,0,0.11058799922466278,0,2,1,0.7055780291557312,0.8161659836769104,0.0,16728
2021-22,Son Heung-Min,35,2,3,0.4581190049648285,83,FWL,Tottenham,Leicester,3,1,2022-05-01,453,2021,0,0.3981490135192871,1,4,2,0.4581190049648285,0.5157430171966553,0.03492239862680435,16719
2021-22,Son Heung-Min,34,0,0,0.0,90,FWL,Brentford,Tottenham,0,0,2022-04-23,453,2021,0,0.12431299686431885,0,2,0,0.0,0.3161830008029938,0.3002449870109558,16714
2021-22,Son Heung-Min,33,0,2,0.1886810064315796,90,FWL,Tottenham,Brighton,0,1,2022-04-16,453,2021,0,0.0,0,0,0,0.1886810064315796,0.1886810064315796,0.0,16699
2021-22,Son Heung-Min,32,3,3,0.5696510076522827,83,FWL,Aston Villa,Tottenham,0,4,2022-04-09,453,2021,0,0.0,0,0,3,0.5696510076522827,0.6434310078620911,0.07377990335226059,16694
2021-22,Son Heung-Min,31,1,4,0.8909019827842712,90,AMC,Tottenham,Newcastle United,5,1,2022-04-03,453,2021,0,0.6390249729156494,1,5,1,0.8909019827842712,1.504770040512085,0.9421730041503906,16678
2021-22,Son Heung-Min,30,2,3,0.9599559903144836,90,AMC,Tottenham,West Ham,3,1,2022-03-20,453,2021,0,0.5117149949073792,0,1,2,0.9599559903144836,2.167180061340332,0.6955119967460632,16673
2021-22,Son Heung-Min,29,0,1,0.07869529724121094,82,AMC,Brighton,Tottenham,0,2,2022-03-16,453,2021,0,0.1858689934015274,0,3,0,0.07869529724121094,0.28060200810432434,0.03567750006914139,16528
2021-22,Son Heung-Min,29,0,2,0.16557900607585907,90,AMC,Manchester United,Tottenham,3,2,2022-03-12,453,2021,0,0.0,0,0,0,0.16557900607585907,0.21291199326515198,0.047332700341939926,16663
2021-22,Son Heung-Min,28,1,2,0.6829000115394592,70,AMC,Tottenham,Everton,5,0,2022-03-07,453,2021,0,0.1816750019788742,0,2,1,0.6829000115394592,1.296239972114563,0.5016800165176392,16653
